,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
406,569.0,284.0,172.0,157.0,97.0
682,568.0,794.0,879.0,904.0,931.0
622,567.0,679.0,816.0,753.0,815.0
617,566.0,909.0,1278.0,1498.0,1636.0
378,565.0,781.0,888.0,993.0,1017.0
522,558.0,300.0,215.0,194.0,144.0
762,550.0,984.0,1131.0,1161.0,1236.0
387,549.0,647.0,956.0,1025.0,1016.0
84,543.0,594.0,644.0,669.0,602.0
50,542.0,766.0,868.0,885.0,981.0
152,540.0,611.0,653.0,630.0,650.0
118,539.0,565.0,667.0,719.0,753.0
305,531.0,2421.0,1645.0,1446.0,1230.0
272,531.0,690.0,863.0,966.0,999.0
547,529.0,476.0,376.0,364.0,341.0
224,526.0,747.0,814.0,893.0,954.0
680,525.0,64.0,26.0,17.0,9.0
616,524.0,611.0,607.0,605.0,592.0
9,519.0,432.0,399.0,360.0,345.0
208,514.0,476.0,431.0,382.0,399.0
470,511.0,1169.0,1167.0,1251.0,1222.0
726,509.0,631.0,845.0,902.0,937.0
499,500.0,779.0,998.0,1176.0,1283.0
73,500.0,320.0,334.0,259.0,234.0
380,493.0,79.0,32.0,28.0,11.0
658,488.0,679.0,762.0,811.0,814.0
747,473.0,700.0,771.0,719.0,697.0
433,472.0,582.0,742.0,782.0,826.0
91,464.0,831.0,971.0,1069.0,1082.0
558,460.0,643.0,843.0,939.0,996.0
760,459.0,672.0,795.0,837.0,868.0
113,456.0,881.0,439.0,344.0,291.0
577,454.0,678.0,783.0,817.0,849.0
526,452.0,590.0,703.0,845.0,873.0
313,451.0,725.0,943.0,1034.0,1121.0
135,449.0,747.0,935.0,1120.0,1224.0
382,444.0,552.0,485.0,447.0,400.0
121,435.0,494.0,447.0,337.0,357.0
429,434.0,630.0,728.0,835.0,905.0
734,433.0,587.0,755.0,884.0,936.0
161,433.0,588.0,701.0,790.0,793.0
407,431.0,669.0,831.0,1057.0,1113.0
259,429.0,1081.0,1207.0,1190.0,1144.0
633,427.0,430.0,442.0,463.0,473.0
721,422.0,847.0,993.0,943.0,1071.0
502,417.0,562.0,710.0,790.0,874.0
567,410.0,1092.0,1207.0,1347.0,1380.0
402,410.0,137.0,118.0,94.0,50.0
417,408.0,48.0,14.0,10.0,10.0
670,407.0,633.0,842.0,832.0,936.0
193,406.0,538.0,706.0,833.0,868.0
215,406.0,698.0,745.0,832.0,900.0
48,405.0,785.0,718.0,703.0,677.0
768,401.0,474.0,219.0,159.0,132.0
115,395.0,590.0,833.0,848.0,957.0
664,394.0,251.0,202.0,166.0,154.0
190,391.0,698.0,832.0,885.0,967.0
494,387.0,470.0,553.0,634.0,680.0
351,383.0,521.0,641.0,799.0,804.0
139,381.0,751.0,794.0,791.0,796.0
478,380.0,546.0,689.0,739.0,859.0
383,379.0,121.0,91.0,62.0,57.0
39,379.0,558.0,696.0,801.0,842.0
77,376.0,593.0,686.0,704.0,750.0
38,376.0,560.0,619.0,720.0,827.0
656,372.0,579.0,703.0,711.0,757.0
