,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
66,0.2,0.84,0.8,0.36,0.32,2.52
261,0.2,0.98,0.6,0.48,0.24,2.5
95,0.2,0.14,1.1,0.68,0.38,2.5
621,0.2,0.7,1.0,0.32,0.22,2.44
295,0.2,0.56,0.9,0.36,0.42,2.44
192,,0.84,0.5,0.48,0.6,2.42
120,0.4,0.98,0.8,0.16,0.08,2.42
375,0.4,0.56,0.7,0.4,0.32,2.38
281,,0.14,0.9,0.52,0.78,2.34
57,0.6,0.42,0.8,0.32,0.18,2.3200000000000003
77,0.2,0.28,1.1,0.44,0.28,2.3
742,0.6,0.42,0.5,0.6,0.16,2.28
250,,,1.2,0.68,0.4,2.28
442,,0.42,0.5,0.76,0.56,2.24
647,,0.7,0.7,0.44,0.36,2.2
641,,0.56,1.2,0.24,0.2,2.2
771,0.4,0.42,0.8,0.28,0.3,2.2
5,0.2,0.98,0.6,0.24,0.14,2.16
92,0.4,0.98,0.4,0.24,0.1,2.12
632,0.6,0.14,0.7,0.48,0.18,2.1
303,,0.28,0.9,0.44,0.44,2.06
60,0.2,0.28,0.7,0.48,0.34,2.0
318,,1.12,0.6,0.2,0.04,1.96
137,0.8,0.42,0.3,0.32,0.06,1.9
172,,0.28,0.5,0.52,0.6,1.9
527,0.8,0.42,0.3,0.24,0.08,1.84
15,0.2,1.12,0.3,0.12,0.08,1.8200000000000005
201,,0.84,0.4,0.32,0.26,1.82
525,0.6,0.98,0.1,0.04,0.02,1.7400000000000002
330,0.2,0.42,0.4,0.44,0.28,1.74
88,0.4,1.12,,0.12,0.02,1.66
546,0.4,0.42,0.6,0.08,0.14,1.64
165,0.2,0.42,0.3,0.4,0.32,1.64
725,,0.42,0.4,0.52,0.14,1.48
178,0.8,0.28,0.2,0.08,0.08,1.4400000000000002
142,,0.56,0.4,0.32,0.16,1.44
278,0.2,0.14,0.7,0.24,0.12,1.4
770,,0.14,0.6,0.24,0.34,1.32
180,0.4,0.28,0.2,0.28,0.06,1.2200000000000002
614,,0.56,0.3,0.2,0.16,1.22
86,,0.42,0.3,0.32,0.16,1.2
224,,0.28,0.4,0.4,0.1,1.1800000000000002
